variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_appendixF-from_last_year,matching
pr,area: point time: point,site time1,pr_tpt-z0-hxys-x,pr_tpt-u-hxys-u,False
pr,area: time: mean where crops,longitude latitude time,pr_tavg-z0-hxy-crp,pr_tavg-u-hxy-crp,False
pr,area: time: mean where crops,longitude latitude time,pr_tavg-z0-hxy-crp,pr_tavg-u-hxy-crp,False
prhmax,area: mean time: mean (within each hour of the day) time: maximum (hourly rate within each 6-hour interval),longitude latitude time,prhmax_tstat-z0-hxy-x,prhmax_tstat-u-hxy-u,False
prhmax,area: mean time: mean (within each hour of the day) time: maximum (hourly rate within each day),longitude latitude time,prhmax_tstat-z0-hxy-x,prhmax_tstat-u-hxy-u,False
prhmax,area: mean time: mean (for each hour of the day) time: maximum (hourly rate within each month),longitude latitude time,prhmax_tstat-z0-hxy-x,prhmax_tstat-u-hxy-u,False
pr17O,area: time: mean,longitude latitude time,pr17O_tavg-z0-hxy-x,pr17O_tavg-u-hxy-u,False
pr18O,area: time: mean,longitude latitude time,pr18O_tavg-z0-hxy-x,pr18O_tavg-u-hxy-u,False
pr2h,area: time: mean,longitude latitude time,pr2h_tavg-z0-hxy-x,pr2h_tavg-u-hxy-u,False
prveg,area: mean where land time: mean,longitude latitude time,prveg_tavg-z0-hxy-lnd,prveg_tavg-u-hxy-lnd,False
prveg,area: mean where land time: mean,longitude latitude time,prveg_tavg-z0-hxy-lnd,prveg_tavg-u-hxy-lnd,False
ut,area: time: mean,longitude latitude alevel time,ut_tavg-l-hxy-x,ut_tavg-l-hxy-u,False
uwap,area: time: mean,longitude latitude alevel time,uwap_tavg-l-hxy-x,uwap_tavg-l-hxy-u,False
uv,area: time: mean,longitude latitude alevel time,uv_tavg-l-hxy-x,uv_tavg-l-hxy-u,False
twap,area: time: mean,longitude latitude alevel time,twap_tavg-l-hxy-x,twap_tavg-l-hxy-u,False
vt,area: time: mean,longitude latitude alevel time,vt_tavg-l-hxy-x,vt_tavg-l-hxy-u,False
vwap,area: time: mean,longitude latitude alevel time,vwap_tavg-l-hxy-x,vwap_tavg-l-hxy-u,False
prra,area: time: mean,longitude latitude time,prra_tavg-z0-hxy-x,prra_tavg-u-hxy-u,False
prra,area: mean where land time: mean,longitude latitude time,prra_tavg-z0-hxy-lnd,prra_tavg-u-hxy-lnd,False
prra,area: time: mean where ice_sheet,longitude latitude time,prra_tavg-z0-hxy-is,prra_tavg-u-hxy-is,False
prra,area: time: mean where ice_sheet,longitude latitude time,prra_tavg-z0-hxy-is,prra_tavg-u-hxy-is,False
prra,area: mean where ice_free_sea over sea time: mean,longitude latitude time,prra_tavg-z0-hxy-ifs,prra_tavg-u-hxy-ifs,False
prra,area: time: mean where ice_sheet,longitude latitude time,prra_tavg-z0-hxy-is,prra_tavg-u-hxy-is,False
prra,area: time: mean where sea_ice,longitude latitude time,prra_tavg-z0-hxy-si,prra_tavg-u-hxy-si,False
basin,area: mean,longitude latitude ,basin_ti-z0-hxy-x,basin_ti-u-hxy-u,False
hur,area: time: mean,longitude latitude alevel time,hur_tavg-l-hxy-x,hur_tavg-l-hxy-u,False
hur,area: time: mean where air,longitude latitude plev8 time,hur_tavg-p8-hxy-air,hur_tavg-p8-hxy-air,True
hur,area: time: mean,longitude latitude alevel time,hur_tavg-l-hxy-x,hur_tavg-l-hxy-u,False
hur,area: time: mean where air,longitude latitude plev19 time,hur_tavg-p19-hxy-air,hur_tavg-p19-hxy-air,True
hur,area: point time: point,alevel site time1,hur_tpt-l-hxys-x,hur_tpt-l-hxys-u,False
hurs,area: mean time: point,longitude latitude time1 height2m,hurs_tpt-h02-hxy-x,hurs_tpt-h2m-hxy-u,False
hurs,area: time: mean,longitude latitude time height2m,hurs_tavg-h02-hxy-x,hurs_tavg-h2m-hxy-u,False
hurs,area: time: mean,longitude latitude time height2m,hurs_tavg-h02-hxy-x,hurs_tavg-h2m-hxy-u,False
hurs,area: time: mean,longitude latitude time height2m,hurs_tavg-h02-hxy-x,hurs_tavg-h2m-hxy-u,False
hurs,area: point time: point,site time1 height2m,hurs_tpt-h02-hxys-x,hurs_tpt-h2m-hxys-u,False
hursmax,area: mean time: maximum,longitude latitude time height2m,hursmax_tstat-h02-hxy-x,hursmax_tstat-h2m-hxy-u,False
hursmin,area: mean time: minimum,longitude latitude time height2m,hursmin_tstat-h02-hxy-x,hursmin_tstat-h2m-hxy-u,False
hursmin,area: mean where crops time: minimum,longitude latitude time height2m,hursmin_tstat-h02-hxy-crp,hursmin_tstat-h2m-hxy-crp,False
hursmin,area: mean where crops time: minimum within days time: mean over days,longitude latitude time height2m,hursmin_tstat-h02-hxy-crp,hursmin_tstat-h2m-hxy-crp,False
rootdmax,area: mean where land,longitude latitude ,rootdmax_ti-z0-hxy-lnd,rootdmax_ti-u-hxy-lnd,False
cRoot,area: mean where land time: mean,longitude latitude time,cRoot_tavg-z0-hxy-lnd,cRoot_tavg-u-hxy-lnd,False
cRoot,area: mean where land,longitude latitude sdepth ,cRoot_ti-l-hxy-lnd,cRoot_ti-l-hxy-lnd,True
nRoot,area: mean where land time: mean,longitude latitude time,nRoot_tavg-z0-hxy-lnd,nRoot_tavg-u-hxy-lnd,False
mrro,area: mean where land time: mean,longitude latitude time,mrro_tavg-z0-hxy-lnd,mrro_tavg-u-hxy-lnd,False
mrro,area: mean where land time: mean,longitude latitude time,mrro_tavg-z0-hxy-lnd,mrro_tavg-u-hxy-lnd,False
mrro,area: mean where land time: mean,longitude latitude time,mrro_tavg-z0-hxy-lnd,mrro_tavg-u-hxy-lnd,False
mrro,area: time: mean where ice_sheet,longitude latitude time,mrro_tavg-z0-hxy-is,mrro_tavg-u-hxy-is,False
mrro,area: time: mean where sector,longitude latitude landUse time,mrro_tavg-z0-hxy-lus,mrro_tavg-u-hxy-lus,False
sfriver,area: mean where sea time: mean,longitude latitude time,sfriver_tavg-z0-hxy-sea,sfriver_tavg-u-hxy-sea,False
sfriver,area: mean where sea time: mean,longitude latitude time,sfriver_tavg-z0-hxy-sea,sfriver_tavg-u-hxy-sea,False
sftof,area: mean,longitude latitude ,sftof_ti-z0-hxy-x,sftof_ti-u-hxy-u,False
deptho,area: mean where sea,longitude latitude ,deptho_ti-z0-hxy-sea,deptho_ti-u-hxy-sea,False
simass,area: mean where sea time: mean,longitude latitude time,simass_tavg-z0-hxy-sea,simass_tavg-u-hxy-sea,False
siarea,area: sum time: mean , time,siarea_tavg-z0-hm-x,siarea_tavg-u-hm-u,False
siarea,area: sum time: mean , time,siarea_tavg-z0-hm-x,siarea_tavg-u-hm-u,False
siconc,area: mean where sea time: mean,longitude latitude time,siconc_tavg-z0-hxy-sea,siconc_tavg-u-hxy-sea,False
siconc,area: mean where sea time: mean,longitude latitude time,siconc_tavg-z0-hxy-sea,siconc_tavg-u-hxy-sea,False
siconc,area: time: mean,longitude latitude time,siconc_tavg-z0-hxy-x,siconc_tavg-u-hxy-u,False
siconc,area: time: mean,longitude latitude time,siconc_tavg-z0-hxy-x,siconc_tavg-u-hxy-u,False
siconcitd,area: time: mean,longitude latitude iceband time,siconcitd_tavg-z0-hxy-x,siconcitd_tavg-u-hxy-u,False
siareaacrossline,time: mean where sea,siline time,siareaacrossline_tavg-z0-ht-sea,siareaacrossline_tavg-u-ht-sea,False
sistresave,area: mean where sea_ice time: point,longitude latitude time1,sistresave_tpt-z0-hxy-si,sistresave_tpt-u-hxy-si,False
sidragbot,area: time: mean where sea_ice,longitude latitude time,sidragbot_tavg-z0-hxy-si,sidragbot_tavg-u-hxy-si,False
sitempbot,area: time: mean where sea_ice,longitude latitude time,sitempbot_tavg-z0-hxy-si,sitempbot_tavg-u-hxy-si,False
siextent,area: time: mean, time,siextent_tavg-z0-hm-x,siextent_tavg-u-hm-u,False
siextent,area: time: mean, time,siextent_tavg-z0-hm-x,siextent_tavg-u-hm-u,False
sifb,area: time: mean where sea_ice,longitude latitude time,sifb_tavg-z0-hxy-si,sifb_tavg-u-hxy-si,False
sisaltmass,area: mean where sea time: mean,longitude latitude time,sisaltmass_tavg-z0-hxy-sea,sisaltmass_tavg-u-hxy-sea,False
simpthk,area: time: mean where sea_ice_melt_pond,longitude latitude time,simpthk_tavg-z0-hxy-simp,simpthk_tavg-u-hxy-simp,False
sisali,area: time: mean where sea_ice,longitude latitude time,sisali_tavg-z0-hxy-si,sisali_tavg-u-hxy-si,False
sispeed,area: time: mean where sea_ice,longitude latitude time,sispeed_tavg-z0-hxy-si,sispeed_tavg-u-hxy-si,False
sispeed,area: time: mean where sea_ice,longitude latitude time,sispeed_tavg-z0-hxy-si,sispeed_tavg-u-hxy-si,False
tssi,area: time: mean where sea_ice,longitude latitude time,tssi_tavg-z0-hxy-si,tssi_tavg-u-hxy-si,False
ts,area: time: mean where sea_ice,longitude latitude time,ts_tavg-z0-hxy-si,ts_tavg-u-hxy-si,False
ts,area: time: mean where sea_ice,longitude latitude time,ts_tavg-z0-hxy-si,ts_tavg-u-hxy-si,False
sihc,area: mean where sea time: mean,longitude latitude time,sihc_tavg-z0-hxy-sea,sihc_tavg-u-hxy-sea,False
sithickitd,area: time: mean where sea_ice (weighted by sea ice area fraction in ice thickness category),longitude latitude iceband time,sithickitd_tavg-z0-hxy-si,sithickitd_tavg-u-hxy-si,False
sithickrdg,area: time: mean where sea_ice_ridges (weighted by fraction of sea ice area covered by ridges),longitude latitude time,sithickrdg_tavg-z0-hxy-sir,sithickrdg_tavg-u-hxy-sir,False
sithick,area: time: mean where sea_ice,longitude latitude time,sithick_tavg-z0-hxy-si,sithick_tavg-u-hxy-si,False
sithick,area: time: mean where sea_ice,longitude latitude time,sithick_tavg-z0-hxy-si,sithick_tavg-u-hxy-si,False
sivol,area: mean where sea time: mean,longitude latitude time,sivol_tavg-z0-hxy-sea,sivol_tavg-u-hxy-sea,False
simassacrossline,time: mean,siline time,simassacrossline_tavg-z0-ht-x,simassacrossline_tavg-u-ht-u,False
sivol,area: time: mean, time,sivol_tavg-z0-hm-x,sivol_tavg-u-hm-u,False
sivol,area: time: mean, time,sivol_tavg-z0-hm-x,sivol_tavg-u-hm-u,False
siforcecoriolx,area: time: mean where sea_ice,longitude latitude time,siforcecoriolx_tavg-z0-hxy-si,siforcecoriolx_tavg-u-hxy-si,False
siforcetiltx,area: time: mean where sea_ice,longitude latitude time,siforcetiltx_tavg-z0-hxy-si,siforcetiltx_tavg-u-hxy-si,False
siforceintstrx,area: time: mean where sea_ice,longitude latitude time,siforceintstrx_tavg-z0-hxy-si,siforceintstrx_tavg-u-hxy-si,False
sidmasstranx,time: mean,longitude latitude time,sidmasstranx_tavg-z0-hxy-x,sidmasstranx_tavg-u-hxy-u,False
siu,area: time: mean where sea_ice,longitude latitude time,siu_tavg-z0-hxy-si,siu_tavg-u-hxy-si,False
siu,area: time: mean where sea_ice,longitude latitude time,siu_tavg-z0-hxy-si,siu_tavg-u-hxy-si,False
siforcecorioly,area: time: mean where sea_ice,longitude latitude time,siforcecorioly_tavg-z0-hxy-si,siforcecorioly_tavg-u-hxy-si,False
siforcetilty,area: time: mean where sea_ice,longitude latitude time,siforcetilty_tavg-z0-hxy-si,siforcetilty_tavg-u-hxy-si,False
siforceintstry,area: time: mean where sea_ice,longitude latitude time,siforceintstry_tavg-z0-hxy-si,siforceintstry_tavg-u-hxy-si,False
sidmasstrany,time: mean,longitude latitude time,sidmasstrany_tavg-z0-hxy-x,sidmasstrany_tavg-u-hxy-u,False
siv,area: time: mean where sea_ice,longitude latitude time,siv_tavg-z0-hxy-si,siv_tavg-u-hxy-si,False
siv,area: time: mean where sea_ice,longitude latitude time,siv_tavg-z0-hxy-si,siv_tavg-u-hxy-si,False
zos,area: mean where sea time: mean,longitude latitude time,zos_tavg-z0-hxy-sea,zos_tavg-u-hxy-sea,False
sos,area: mean where sea time: mean,longitude latitude time,sos_tavg-z0-hxy-sea,sos_tavg-u-hxy-sea,False
sos,area: mean where sea time: mean,longitude latitude time,sos_tavg-z0-hxy-sea,sos_tavg-u-hxy-sea,False
sos,area: mean where sea time: mean,longitude latitude time,sos_tavg-z0-hxy-sea,sos_tavg-u-hxy-sea,False
sos,area: mean where sea time: mean, time,sos_tavg-z0-hm-sea,sos_tavg-u-hm-sea,False
sos,area: mean where sea time: mean, time,sos_tavg-z0-hm-sea,sos_tavg-u-hm-sea,False
tos,area: mean where sea time: point,longitude latitude time1,tos_tpt-z0-hxy-sea,tos_tpt-u-hxy-sea,False
tos,area: mean where sea time: mean,longitude latitude time,tos_tavg-z0-hxy-sea,tos_tavg-u-hxy-sea,False
tos,area: mean where sea time: mean,longitude latitude time,tos_tavg-z0-hxy-sea,tos_tavg-u-hxy-sea,False
tos,area: mean where sea time: mean,longitude latitude time,tos_tavg-z0-hxy-sea,tos_tavg-u-hxy-sea,False
tos,area: mean where sea time: mean, time,tos_tavg-z0-hm-sea,tos_tavg-u-hm-sea,False
tos,area: mean where sea time: mean, time,tos_tavg-z0-hm-sea,tos_tavg-u-hm-sea,False
pabigthetao,area: mean where sea time: mean,longitude latitude olevel time,pabigthetao_tavg-l-hxy-sea,pabigthetao_tavg-l-hxy-sea,True
pathetao,area: mean where sea time: mean,longitude latitude olevel time,pathetao_tavg-l-hxy-sea,pathetao_tavg-l-hxy-sea,True
agessc,area: mean where sea time: mean,longitude latitude olevel time,agessc_tavg-l-hxy-sea,agessc_tavg-l-hxy-sea,True
agessc,area: mean where sea time: mean,longitude latitude olevel time,agessc_tavg-l-hxy-sea,agessc_tavg-l-hxy-sea,True
talk,area: mean where sea time: mean,longitude latitude olevel time,talk_tavg-l-hxy-sea,talk_tavg-l-hxy-sea,True
talk,area: mean where sea time: mean,longitude latitude olevel time,talk_tavg-l-hxy-sea,talk_tavg-l-hxy-sea,True
talk,area: mean where sea time: mean,longitude latitude time depth0m,talk_tavg-z00-hxy-sea,talk_tavg-d0m-hxy-sea,False
talknat,area: mean where sea time: mean,longitude latitude olevel time,talknat_tavg-l-hxy-sea,talknat_tavg-l-hxy-sea,True
talknat,area: mean where sea time: mean,longitude latitude olevel time,talknat_tavg-l-hxy-sea,talknat_tavg-l-hxy-sea,True
talknat,area: mean where sea time: mean,longitude latitude time depth0m,talknat_tavg-z00-hxy-sea,talknat_tavg-d0m-hxy-sea,False
bigthetao,area: mean where sea time: mean,longitude latitude olevel time,bigthetao_tavg-l-hxy-sea,bigthetao_tavg-l-hxy-sea,True
bigthetao,area: mean where sea time: mean,longitude latitude olevel time,bigthetao_tavg-l-hxy-sea,bigthetao_tavg-l-hxy-sea,True
bigthetao,depth: area: mean where sea (over entire ocean column)  time: mean, time,bigthetao_tavg-z0-hm-sea,bigthetao_tavg-u-hm-sea,False
bigthetao,depth: area: mean where sea (over entire ocean column)  time: mean, time,bigthetao_tavg-z0-hm-sea,bigthetao_tavg-u-hm-sea,False
masso,area: sum where sea time: mean, time,masso_tavg-z0-hm-sea,masso_tavg-u-hm-sea,False
masso,area: sum where sea time: mean, time,masso_tavg-z0-hm-sea,masso_tavg-u-hm-sea,False
masscello,area: mean where sea time: mean,longitude latitude olevel time,masscello_tavg-l-hxy-sea,masscello_tavg-l-hxy-sea,True
masscello,area: mean where sea,longitude latitude olevel ,masscello_ti-l-hxy-sea,masscello_ti-l-hxy-sea,True
masscello,area: mean where sea time: mean,longitude latitude olevel time,masscello_tavg-l-hxy-sea,masscello_tavg-l-hxy-sea,True
phabio,area: mean where sea time: mean,longitude latitude olevel time,phabio_tavg-l-hxy-sea,phabio_tavg-l-hxy-sea,True
phabio,area: mean where sea time: mean,longitude latitude olevel time,phabio_tavg-l-hxy-sea,phabio_tavg-l-hxy-sea,True
phabio,area: mean where sea time: mean,longitude latitude time depth0m,phabio_tavg-z00-hxy-sea,phabio_tavg-d0m-hxy-sea,False
phnat,area: mean where sea time: mean,longitude latitude olevel time,phnat_tavg-l-hxy-sea,phnat_tavg-l-hxy-sea,True
phnat,area: mean where sea time: mean,longitude latitude olevel time,phnat_tavg-l-hxy-sea,phnat_tavg-l-hxy-sea,True
phnat,area: mean where sea time: mean,longitude latitude time depth0m,phnat_tavg-z00-hxy-sea,phnat_tavg-d0m-hxy-sea,False
ph,area: mean where sea time: mean,longitude latitude olevel time,ph_tavg-l-hxy-sea,ph_tavg-l-hxy-sea,True
ph,area: mean where sea time: mean,longitude latitude olevel time,ph_tavg-l-hxy-sea,ph_tavg-l-hxy-sea,True
ph,area: mean where sea time: mean,longitude latitude time depth0m,ph_tavg-z00-hxy-sea,ph_tavg-d0m-hxy-sea,False
thetao,area: mean where sea time: mean,longitude latitude olevel time,thetao_tavg-l-hxy-sea,thetao_tavg-l-hxy-sea,True
thetao,area: mean where sea time: mean,longitude latitude olevel time,thetao_tavg-l-hxy-sea,thetao_tavg-l-hxy-sea,True
thetao,depth: area: mean where sea time: mean,longitude latitude time olayer2000m,thetao_tavg-z02000-hxy-sea,thetao_tavg-d2000m-hxy-sea,False
thetao,depth: area: mean where sea time: mean,longitude latitude time olayer300m,thetao_tavg-z0300-hxy-sea,thetao_tavg-d300m-hxy-sea,False
thetao,depth: area: mean where sea time: mean,longitude latitude time olayer700m,thetao_tavg-z0700-hxy-sea,thetao_tavg-d700m-hxy-sea,False
thetao,depth:  area: mean where sea (over entire ocean column) time: mean, time,thetao_tavg-z0-hm-sea,thetao_tavg-u-hm-sea,False
thetao,depth:  area: mean where sea (over entire ocean column) time: mean, time,thetao_tavg-z0-hm-sea,thetao_tavg-u-hm-sea,False
thetao,depth:  area: mean where sea (over entire ocean column) time: mean,longitude latitude time,thetao_tavg-z0-hxy-sea,thetao_tavg-u-hxy-sea,False
tob,area: mean where sea time: mean,longitude latitude time,tob_tavg-z0-hxy-sea,tob_tavg-u-hxy-sea,False
pbo,area: mean where sea time: mean,longitude latitude time,pbo_tavg-z0-hxy-sea,pbo_tavg-u-hxy-sea,False
pso,area: mean where sea time: mean,longitude latitude time,pso_tavg-z0-hxy-sea,pso_tavg-u-hxy-sea,False
prbigthetao,area: mean where sea time: mean,longitude latitude olevel time,prbigthetao_tavg-l-hxy-sea,prbigthetao_tavg-l-hxy-sea,True
prthetao,area: mean where sea time: mean,longitude latitude olevel time,prthetao_tavg-l-hxy-sea,prthetao_tavg-l-hxy-sea,True
so,area: mean where sea time: mean,longitude latitude olevel time,so_tavg-l-hxy-sea,so_tavg-l-hxy-sea,True
so,area: mean where sea time: mean,longitude latitude olevel time,so_tavg-l-hxy-sea,so_tavg-l-hxy-sea,True
so,depth: area: mean where sea (over entire ocean column) time: mean, time,so_tavg-z0-hm-sea,so_tavg-u-hm-sea,False
so,depth: area: mean where sea (over entire ocean column) time: mean, time,so_tavg-z0-hm-sea,so_tavg-u-hm-sea,False
so,area: mean where sea time: mean,longitude latitude time,so_tavg-z0-hxy-sea,so_tavg-u-hxy-sea,False
mfo,time: mean,oline time,mfo_tavg-z0-ht-x,mfo_tavg-u-ht-u,False
volo,area: sum where sea time: mean, time,volo_tavg-z0-hm-sea,volo_tavg-u-hm-sea,False
volo,area: sum where sea time: mean, time,volo_tavg-z0-hm-sea,volo_tavg-u-hm-sea,False
uo,area: mean where sea time: mean,longitude latitude olevel time,uo_tavg-l-hxy-sea,uo_tavg-l-hxy-sea,True
uo,area: mean where sea time: mean,longitude latitude olevel time,uo_tavg-l-hxy-sea,uo_tavg-l-hxy-sea,True
vo,area: mean where sea time: mean,longitude latitude olevel time,vo_tavg-l-hxy-sea,vo_tavg-l-hxy-sea,True
vo,area: mean where sea time: mean,longitude latitude olevel time,vo_tavg-l-hxy-sea,vo_tavg-l-hxy-sea,True
sci,area: time: mean,longitude latitude time,sci_tavg-z0-hxy-x,sci_tavg-u-hxy-u,False
sci,area: time: mean,longitude latitude time,sci_tavg-z0-hxy-x,sci_tavg-u-hxy-u,False
sci,area: point time: mean,site time,sci_tavg-z0-hxys-x,sci_tavg-u-hxys-u,False
prcsh,area: time: mean,longitude latitude time,prcsh_tavg-z0-hxy-x,prcsh_tavg-u-hxy-u,False
aerssabnd,area: mean (weighted by incident radiation in band) time: point,longitude latitude alevel spectband time1,aerssabnd_tpt-l-hxy-x,aerssabnd_tpt-l-hxy-u,False
exparag,area: mean where sea time: mean,longitude latitude time depth100m,exparag_tavg-z0100-hxy-sea,exparag_tavg-d100m-hxy-sea,False
exparag,area: mean where sea time: mean,longitude latitude olevel time,exparag_tavg-l-hxy-sea,exparag_tavg-l-hxy-sea,True
exparag,area: mean where sea time: mean,longitude latitude olevel time,exparag_tavg-l-hxy-sea,exparag_tavg-l-hxy-sea,True
expcalc,area: mean where sea time: mean,longitude latitude time depth100m,expcalc_tavg-z0100-hxy-sea,expcalc_tavg-d100m-hxy-sea,False
expcalc,area: mean where sea time: mean,longitude latitude olevel time,expcalc_tavg-l-hxy-sea,expcalc_tavg-l-hxy-sea,True
expcalc,area: mean where sea time: mean,longitude latitude olevel time,expcalc_tavg-l-hxy-sea,expcalc_tavg-l-hxy-sea,True
expfe,area: mean where sea time: mean,longitude latitude time depth100m,expfe_tavg-z0100-hxy-sea,expfe_tavg-d100m-hxy-sea,False
expfe,area: mean where sea time: mean,longitude latitude olevel time,expfe_tavg-l-hxy-sea,expfe_tavg-l-hxy-sea,True
expfe,area: mean where sea time: mean,longitude latitude olevel time,expfe_tavg-l-hxy-sea,expfe_tavg-l-hxy-sea,True
expc,area: mean where sea time: mean,longitude latitude time depth100m,expc_tavg-z0100-hxy-sea,expc_tavg-d100m-hxy-sea,False
expc,area: mean where sea time: mean,longitude latitude olevel time,expc_tavg-l-hxy-sea,expc_tavg-l-hxy-sea,True
expc,area: mean where sea time: mean,longitude latitude olevel time,expc_tavg-l-hxy-sea,expc_tavg-l-hxy-sea,True
expn,area: mean where sea time: mean,longitude latitude time depth100m,expn_tavg-z0100-hxy-sea,expn_tavg-d100m-hxy-sea,False
expn,area: mean where sea time: mean,longitude latitude olevel time,expn_tavg-l-hxy-sea,expn_tavg-l-hxy-sea,True
expn,area: mean where sea time: mean,longitude latitude olevel time,expn_tavg-l-hxy-sea,expn_tavg-l-hxy-sea,True
expp,area: mean where sea time: mean,longitude latitude time depth100m,expp_tavg-z0100-hxy-sea,expp_tavg-d100m-hxy-sea,False
expp,area: mean where sea time: mean,longitude latitude olevel time,expp_tavg-l-hxy-sea,expp_tavg-l-hxy-sea,True
expp,area: mean where sea time: mean,longitude latitude olevel time,expp_tavg-l-hxy-sea,expp_tavg-l-hxy-sea,True
expsi,area: mean where sea time: mean,longitude latitude time depth100m,expsi_tavg-z0100-hxy-sea,expsi_tavg-d100m-hxy-sea,False
expsi,area: mean where sea time: mean,longitude latitude olevel time,expsi_tavg-l-hxy-sea,expsi_tavg-l-hxy-sea,True
expsi,area: mean where sea time: mean,longitude latitude olevel time,expsi_tavg-l-hxy-sea,expsi_tavg-l-hxy-sea,True
cSoilSlow,area: mean where land time: mean,longitude latitude time,cSoilSlow_tavg-z0-hxy-lnd,cSoilSlow_tavg-u-hxy-lnd,False
snmassacrossline,time: mean,siline time,snmassacrossline_tavg-z0-ht-x,snmassacrossline_tavg-u-ht-u,False
prsn,area: time: mean,longitude latitude time,prsn_tavg-z0-hxy-x,prsn_tavg-u-hxy-u,False
prsn,area: mean time: point,longitude latitude time1,prsn_tpt-z0-hxy-x,prsn_tpt-u-hxy-u,False
prsn,area: time: mean,longitude latitude time,prsn_tavg-z0-hxy-x,prsn_tavg-u-hxy-u,False
prsn,area: time: mean where ice_sheet,longitude latitude time,prsn_tavg-z0-hxy-is,prsn_tavg-u-hxy-is,False
prsn,area: time: mean where ice_sheet,longitude latitude time,prsn_tavg-z0-hxy-is,prsn_tavg-u-hxy-is,False
prsn,area: time: mean,longitude latitude time,prsn_tavg-z0-hxy-x,prsn_tavg-u-hxy-u,False
prsn,area: time: mean where ice_free_sea over sea,longitude latitude time,prsn_tavg-z0-hxy-ifs,prsn_tavg-u-hxy-ifs,False
prsn,area: point time: point,site time1,prsn_tpt-z0-hxys-x,prsn_tpt-u-hxys-u,False
prsn,area: time: mean where ice_sheet,longitude latitude time,prsn_tavg-z0-hxy-is,prsn_tavg-u-hxy-is,False
prsn,area: time: mean where sea_ice,longitude latitude time,prsn_tavg-z0-hxy-si,prsn_tavg-u-hxy-si,False
mrfso,area: mean where land time: mean,longitude latitude time,mrfso_tavg-z0-hxy-lnd,mrfso_tavg-u-hxy-lnd,False
ksat,area: mean where land,longitude latitude sdepth ,ksat_ti-l-hxy-lnd,ksat_ti-l-hxy-lnd,True
c13Soil,area: mean where land time: mean,longitude latitude time,c13Soil_tavg-z0-hxy-lnd,c13Soil_tavg-u-hxy-lnd,False
c14Soil,area: mean where land time: mean,longitude latitude time,c14Soil_tavg-z0-hxy-lnd,c14Soil_tavg-u-hxy-lnd,False
cSoil,area: mean where land time: mean,longitude latitude time,cSoil_tavg-z0-hxy-lnd,cSoil_tavg-u-hxy-lnd,False
cSoil,area: mean where land time: point,longitude latitude time1,cSoil_tpt-z0-hxy-lnd,cSoil_tpt-u-hxy-lnd,False
cSoil,area: mean where land time: mean,longitude latitude time sdepth10,cSoil_tavg-z01-hxy-lnd,cSoil_tavg-d1m-hxy-lnd,False
cSoil,area: time: mean where natural_grasses,longitude latitude time,cSoil_tavg-z0-hxy-ng,cSoil_tavg-u-hxy-ng,False
cSoil,area: mean where land time: mean,longitude latitude sdepth time,cSoil_tavg-l-hxy-lnd,cSoil_tavg-l-hxy-lnd,True
cSoil,area: mean where sector time: point,longitude latitude landUse time1,cSoil_tpt-z0-hxy-lus,cSoil_tpt-u-hxy-lus,False
cSoilPools,area: mean where land time: mean,longitude latitude soilpools time,cSoilPools_tavg-z0-hxy-lnd,cSoilPools_tavg-u-hxy-lnd,False
cSoil,area: time: mean where shrubs,longitude latitude time,cSoil_tavg-z0-hxy-shb,cSoil_tavg-u-hxy-shb,False
cSoil,area: time: mean where trees,longitude latitude time,cSoil_tavg-z0-hxy-tree,cSoil_tavg-u-hxy-tree,False
nMineralNH4,area: mean where land time: mean,longitude latitude time,nMineralNH4_tavg-z0-hxy-lnd,nMineralNH4_tavg-u-hxy-lnd,False
nMineralNO3,area: mean where land time: mean,longitude latitude time,nMineralNO3_tavg-z0-hxy-lnd,nMineralNO3_tavg-u-hxy-lnd,False
nMineral,area: mean where land time: mean,longitude latitude time,nMineral_tavg-z0-hxy-lnd,nMineral_tavg-u-hxy-lnd,False
nSoil,area: mean where land time: mean,longitude latitude time,nSoil_tavg-z0-hxy-lnd,nSoil_tavg-u-hxy-lnd,False
mrsofc,area: mean where land,longitude latitude ,mrsofc_ti-z0-hxy-lnd,mrsofc_ti-u-hxy-lnd,False
tSoilPools,area: time: mean where land (weighted by mass of soil pool),longitude latitude soilpools time,tSoilPools_tavg-z0-hxy-lnd,tSoilPools_tavg-u-hxy-lnd,False
tsl,area: mean where land time: point,longitude latitude time1 sdepth1,tsl_tpt-z0p1-hxy-lnd,tsl_tpt-d10cm-hxy-lnd,False
tsl,area: mean where land time: mean,longitude latitude sdepth time,tsl_tavg-l-hxy-lnd,tsl_tavg-l-hxy-lnd,True
tsl,area: mean where land time: mean,longitude latitude sdepth time,tsl_tavg-l-hxy-lnd,tsl_tavg-l-hxy-lnd,True
sza,area: mean time: point,longitude latitude time1,sza_tpt-z0-hxy-x,sza_tpt-u-hxy-u,False
prsn17O,area: time: mean,longitude latitude time,prsn17O_tavg-z0-hxy-x,prsn17O_tavg-u-hxy-u,False
prsn18O,area: time: mean,longitude latitude time,prsn18O_tavg-z0-hxy-x,prsn18O_tavg-u-hxy-u,False
prsn2h,area: time: mean,longitude latitude time,prsn2h_tavg-z0-hxy-x,prsn2h_tavg-u-hxy-u,False
